Timestamp,Group,Comment
5/16/24 14:22,G4,I can see your improvement! Nice talk 눈을 마주치고 대화하는 것처럼 하면 더 좋을 것 같아요 발음이 안 들림 말을 조금씩 쉬어서 하면 좋겠다 단어들이 끊기는 느낌만 고치면 좋을 거 같아요 Chunking을 더 하면 좋을 것 같아요
5/14/24 13:18,G4,Wonderful!
5/9/24 14:19,G5,시선처리 발음도 좋고 목소리도 잘 들려서 좋았다. 하지만 말이 살짝 느려서 쪼끔 답답했다 a loud voice
5/14/24 13:17,G5,자신감 있게 하면 좋겠습니다 잘안들렸다. 목소리가 조금만 더 컸으면 좋겠다 발음을 조금 더 명확히 하면 좋겠다 중요한 단어가 더 잘 들렸으면 좋겠어요
5/9/24 14:18,G5,차분해서 좋았지만 좀더크고 속도가 빨랐으면한다 자신감이 없다 읽는 느낌 보다 말을 전달하려는 느낌으로 하면 좋을것 같아요
5/16/24 14:22,G5,Great! I can get your point clearly. Just make sure your script is in your brain 발음이 조금만 더 명확하면 좋겠다 조금 더 자신감 있고 악센트가 정확하면 좋겠어요
5/14/24 13:18,G5,Some words need more accurate pronunciation
5/16/24 14:24,G5,끊어말하는 느낌을 줄이면 좋을 것 같다
5/14/24 13:20,G5,자연스럽게 잘했다
5/9/24 14:20,G5,좀 더 빨리 말했으면 좋겠고 자신감을 가졌으면 좋겠다.
5/9/24 14:18,G6,책읽는거같음 발음이 잘 들리지 않아요 목소리 더 크고 발음이 더 정확했으면 좋겠어요
5/14/24 13:18,G6,"Little bit fast, but comfortable to listen in general."
5/14/24 13:17,G6,전체적으로 자연스러워서 좋다 발음을 조금만 더 명확히 하면 좋겠다 조금 더 전달하려는 느낌이 강했으면 좋겠어요
5/16/24 14:24,G6,목소리가 좋다
5/9/24 14:19,G6,몇몇 단어 발음 정확하게 했으면 좋겠다. 말할게 몸이 자꾸 흔들려서 보는 사람 입장에서는 조금 불안해 보였다. 하지만 발음도 좋고 속도도 듣기 편할 정도로 적당해서 좋았다 memorization
5/14/24 13:20,G6,발음이 좋았다
5/16/24 14:23,G6,발음이 유창하고 내용이 잘들렸다
5/16/24 14:22,G6,Makes me speechless. REALLY 잘했어요 굿굿 목소리가 좋아요 발음이 너무 좋아요
5/9/24 14:20,G6,목소리 크기가 좋았고 자신감이 있어보였다
