Exercise_Frequency,Health_Perception
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Healthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Seldom Exercise,Unhealthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Healthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
Never Exercise,Unhealthy
